,edges,chrom_sym_func,e_positive
33,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 10), (8, 9), (8, 10), (9, 10)]","480*e[6, 5] + 6912*e[7, 4] + 44160*e[8, 3] + 234528*e[9, 2] + 1101600*e[10, 1] + 5111040*e[11]",True
34,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","2400*e[6, 5] + 8928*e[7, 4] + 46560*e[8, 3] + 229152*e[9, 2] + 1015200*e[10, 1] + 4408800*e[11]",True
35,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","7488*e[7, 4] + 54720*e[8, 3] + 245952*e[9, 2] + 993600*e[10, 1] + 3960000*e[11]",True
36,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","5184*e[7, 4] + 47520*e[8, 3] + 243936*e[9, 2] + 1101600*e[10, 1] + 4831200*e[11]",True
37,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","2400*e[6, 5] + 8640*e[7, 4] + 48000*e[8, 3] + 225120*e[9, 2] + 1023840*e[10, 1] + 4392960*e[11]",True
38,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (9, 10)]","1440*e[6, 5] + 8640*e[7, 4] + 51120*e[8, 3] + 226800*e[9, 2] + 1017360*e[10, 1] + 4300560*e[11]",True
39,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","960*e[6, 5] + 9648*e[7, 4] + 50160*e[8, 3] + 229152*e[9, 2] + 1006560*e[10, 1] + 4337520*e[11]",True
40,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","8640*e[7, 4] + 54000*e[8, 3] + 236880*e[9, 2] + 1004400*e[10, 1] + 4078800*e[11]",True
41,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","6912*e[7, 4] + 57600*e[8, 3] + 237888*e[9, 2] + 1010880*e[10, 1] + 3928320*e[11]",True
42,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","7776*e[7, 4] + 57600*e[8, 3] + 229824*e[9, 2] + 1010880*e[10, 1] + 4086720*e[11]",True
